energy,delay
67.2935407045,-205
95.18340826942,24
100.8020455034,13
74.22862002403,121
80.45514731637,99
76.7707319939,108
114.4529728829,16
78.8967582147,-142
89.66995421495,125
134.9506908883,146
122.3817410709,17
56.04266161189,10
198.7507548128,36
188.0736792067,105
56.42136413593,109
125.0482824844,23
82.69697391946,141
76.99894456164,108
77.76421844626,73
81.21036807627,83
73.20754334139,103
78.51542588245,110
57.79264897667,29
122.4718510662,-66
127.5273005356,-253
134.2149374562,112
67.98365567952,-256
51.72240849494,110
51.95618445772,-58
69.84354638769,69
58.000924908,46
53.00938517345,107
105.5973300856,103
138.7836451853,-49
112.6840709338,108
125.5779280722,9
51.00664564382,-74
88.71387073008,35
51.20865409607,60
66.85268209771,55
59.66189944384,110
60.64282840586,71
102.7711437822,143
83.67924565627,111
72.15968696669,105
56.35917024389,104
78.15718153637,42
62.80534541017,113
103.9904571107,36
104.7897917963,51
132.9823124653,-126
126.4400050055,-4
81.53097356889,110
63.98570920168,160
125.5919051618,150
79.6638874945,49
181.2868617045,-104
65.0936576185,58
98.86628851766,74
57.39721141019,158
85.63895402023,15
55.30566892457,92
50.65537055349,-262
75.19873810209,38
117.2897236586,-246
184.7097352932,60
86.75817935768,-71
52.59853594509,112
81.95205219059,20
59.28540612014,102
138.7825711548,37
148.4319409348,-219
143.3606588121,107
60.13962497646,40
89.63295842485,111
52.94368068749,127
58.64967057971,153
54.00986280264,30
160.9182738882,55
183.9827843189,40
52.64494365234,108
172.1252657953,120
194.5097863218,-3
51.84934385551,110
56.21403479496,109
120.7218305071,-71
142.2441159413,76
140.6057961471,103
99.34244140239,102
190.996055041,-126
130.8047227338,-171
199.058636601,131
120.5251338098,-232
53.96252499385,-121
116.2524858022,108
85.17675957629,105
70.58063417798,109
162.53267658,24
50.44459436329,105
161.1892510499,-220
84.66616018799,-171
60.76580218644,90
109.5072588977,-69
91.71676271493,-26
176.5328457894,103
115.9711658681,92
190.2319114883,102
75.18864900453,65
89.76953954536,107
54.96895874282,104
67.76830512076,134
58.56936449821,-210
110.0736085118,100
64.76191181376,112
55.05959308617,34
84.43189092239,16
96.1110066776,75
53.11780599493,106
69.67010354747,94
58.28729993815,147
120.9477931478,97
141.5587268722,65
71.64920737873,139
90.2405244608,-14
87.53679166056,132
50.3053186304,145
99.66382565557,95
134.3280270881,104
120.0834492065,74
97.56937804425,101
128.1584928197,58
63.03582743097,97
113.0357766519,12
58.73693116246,106
79.99561793514,123
110.7590880674,4
161.8121510914,71
88.90941217664,33
106.3079490386,1271
122.0583191555,-22
111.5952521771,111
106.7106347016,-25
53.94004816261,11
58.67796409578,132
73.97665835737,49
122.4733796622,-30
68.85859416256,102
92.54256687696,-133
122.4675237223,109
147.601582443,-212
57.38258125896,45
61.9342759345,-258
68.94160837399,91
166.9988664131,-83
94.94701332504,105
91.5620438714,129
66.66384162649,-45
63.88916612352,35
77.27885068939,108
136.7427252535,30
50.3028922058,51
104.6271254866,105
51.41866765838,50
151.8382737191,-119
89.60787282484,25
133.6249920422,-129
57.01020117785,112
55.02920651985,147
101.4475313346,109
100.967661602,-229
176.1248731988,100
63.75769660046,108
87.1153299932,88
199.0552819394,-79
127.9221608429,-142
55.21226121098,41
88.28288137218,106
154.398499083,109
82.45983852429,98
96.79472325862,121
50.67634959203,101
54.35874097022,99
109.271467944,-50
56.96149816351,77
92.87885489171,-247
140.8095924406,52
133.0372724443,69
95.07039379004,108
172.270585392,101
94.80838079878,154
124.0852879949,108
70.42725914003,111
70.41991462751,115
124.9683818306,24
147.3567050987,102
99.67035602318,85
64.88599991028,5
90.28004216834,104
114.2002521378,113
58.87208343817,144
