energy,delay
56.35917024389,129
78.15718153637,74
62.80534541017,136
103.9904571107,57
104.7897917963,71
132.9823124653,63
126.4400050055,175
81.53097356889,134
63.98570920168,184
125.5919051618,173
79.6638874945,102
181.2868617045,132
65.0936576185,85
98.86628851766,99
57.39721141019,182
85.63895402023,37
55.30566892457,119
50.65537055349,128
75.19873810209,167
117.2897236586,112
184.7097352932,84
86.75817935768,126
52.59853594509,137
81.95205219059,43
59.28540612014,126
138.7825711548,61
148.4319409348,41
143.3606588121,129
60.13962497646,68
89.63295842485,140
52.94368068749,151
58.64967057971,178
54.00986280264,58
160.9182738882,76
183.9827843189,57
52.64494365234,134
172.1252657953,142
194.5097863218,127
51.84934385551,136
56.21403479496,18
120.7218305071,160
142.2441159413,119
140.6057961471,126
99.34244140239,125
190.996055041,61
130.8047227338,125
199.058636601,149
120.5251338098,124
53.96252499385,48
116.2524858022,132
85.17675957629,127
70.58063417798,16
162.53267658,43
50.44459436329,136
161.1892510499,14
84.66616018799,27
60.76580218644,114
109.5072588977,119
91.71676271493,89
176.5328457894,10
115.9711658681,121
190.2319114883,5
75.18864900453,130
89.76953954536,131
54.96895874282,130
67.76830512076,157
58.56936449821,126
110.0736085118,7
64.76191181376,20
55.05959308617,58
84.43189092239,171
96.1110066776,98
53.11780599493,12
69.67010354747,125
58.28729993815,50
120.9477931478,116
141.5587268722,84
71.64920737873,47
90.2405244608,134
87.53679166056,40
50.3053186304,175
99.66382565557,114
134.3280270881,130
120.0834492065,98
97.56937804425,126
128.1584928197,78
63.03582743097,11
113.0357766519,143
58.73693116246,131
79.99561793514,150
110.7590880674,125
161.8121510914,-21
88.90941217664,57
106.3079490386,50
122.0583191555,161
111.5952521771,133
106.7106347016,125
53.94004816261,34
58.67796409578,156
73.97665835737,-48
122.4733796622,3
68.85859416256,127
92.54256687696,108
122.4675237223,132
147.601582443,119
57.38258125896,69
61.9342759345,21
68.94160837399,171
166.9988664131,59
94.94701332504,13
91.5620438714,37
66.66384162649,127
63.88916612352,61
77.27885068939,126
136.7427252535,51
