Row   , SeriesNumber, EventNumber ,    pt_keVee , zip4.PAWKmax, sihv_delay_us
456705,72208302118,4390724,0.043133351,8.19E-07,16.24566932
457764,72208302118,4410092,0.051526522,8.29E-07,8.142900328
457977,72208302118,4410305,0.035465955,7.97E-07,10.54026699
459595,72208302118,4430108,0.035341456,8.28E-07,18.20045052
460024,72208302118,4430537,0.040869749,8.28E-07,6.814168811
468503,72208302118,4530206,0.041854503,8.27E-07,5.20354907
469559,72208302118,4540405,0.036228709,7.96E-07,6.308413283
470127,72208302118,4550099,0.085043445,8.03E-07,13.03740085
475085,72208302118,4610169,0.040808113,7.97E-07,21.87318559
478755,72208302118,4650267,0.046919503,7.98E-07,19.65729124
487718,72208302118,4750377,0.036777335,7.98E-07,9.224233112
492103,72208302118,4800387,0.035531072,8.02E-07,11.93305709
497044,72208302118,4860007,0.036996074,7.96E-07,9.073873233
499532,72208302118,4880735,0.042640111,7.97E-07,22.17423645
502378,72208302118,4910892,0.038289999,8.12E-07,4.293078078
503595,72208302118,4930330,0.036292409,8.20E-07,18.45893933
503645,72208302118,4930380,0.048001283,8.28E-07,20.67915645
505013,72208302118,4940889,0.048542491,8.03E-07,17.66380276
505312,72208302118,4950259,0.040419277,8.19E-07,9.008903282
505685,72208302118,4950632,0.037803946,8.13E-07,15.48589479
506405,72208302118,4960479,0.03585754,8.22E-07,3.241016848
509902,72208302118,5000477,0.038559253,8.17E-07,10.9573804
512855,72208302118,5030771,0.036626689,8.05E-07,16.12542204
513747,72208302118,5040744,0.037263453,8.07E-07,28.95230367
515925,72208302118,5070180,0.038535576,8.14E-07,25.15885286
518049,72208302118,5090536,0.042444574,7.88E-07,11.89190754
518136,72208302118,5090623,0.037707218,7.88E-07,11.64296295
519856,72208302118,5110619,0.039107533,8.10E-07,20.02387838
523704,72208302118,5160072,0.039427112,8.18E-07,20.3075742
526755,72208302118,5190572,0.082628373,8.06E-07,20.29713466
527014,72208302118,5190831,0.035898493,8.16E-07,16.94209533
529977,72208302118,5230299,0.037175974,8.16E-07,17.34496045
532834,72208302118,5270095,0.035389353,8.20E-07,23.48916853
533398,72208302118,5270659,0.041769588,8.03E-07,30.43069414
535299,72208302118,5290758,0.042745992,8.07E-07,25.53854741
536281,72208302118,5300833,0.036935323,8.09E-07,23.88162968
537084,72208302118,5310742,0.035778217,8.07E-07,26.46524006
539756,72208302118,5340718,0.042068546,8.09E-07,17.20939027
540978,72208302118,5360166,0.06575056,8.13E-07,20.27228232
543447,72208302118,5390029,0.036168619,7.92E-07,19.41392113
543813,72208302118,5390395,0.049211454,8.14E-07,19.30273462
544077,72208302118,5390659,0.03874748,8.18E-07,27.37581225
545421,72208302118,5410266,0.036276598,8.05E-07,29.63127316
546810,72208302118,5420745,0.036854432,8.16E-07,22.39277629
547170,72208302118,5430229,0.037296127,8.25E-07,27.92260098
550355,72208302118,5460742,0.041794367,7.90E-07,19.65644049
552889,72208302118,5490584,0.038301781,7.90E-07,26.59324307
559574,72208302118,5570100,0.040570695,7.92E-07,23.01583296
560922,72208302118,5580569,0.035483792,8.19E-07,25.90131508
562063,72208302118,5590810,0.037755308,7.95E-07,24.74110793
562705,72208302118,5600544,0.040311524,8.19E-07,20.20443233
564101,72208302118,5620200,0.042525779,8.17E-07,9.144305138
566594,72208302118,5650034,0.036731218,7.99E-07,8.17272551
567002,72208302118,5650442,0.03961298,8.22E-07,32.00942627
567198,72208302118,5650638,0.040729848,8.17E-07,30.92460948
572582,72208302118,5710672,0.037965129,8.21E-07,24.96146218
573110,72208302118,5720302,0.036524624,8.22E-07,30.09267129
575162,72208302118,5740537,0.03806372,7.92E-07,24.83951573
575341,72208302118,5740716,0.036211598,8.00E-07,29.70819878
575566,72208302118,5750045,0.037661008,7.85E-07,28.90723228
577272,72208302118,5770004,0.089415703,8.20E-07,-2051.20843
579422,72208302118,5790320,0.046819603,7.85E-07,10.50538596
584083,72208302118,5840696,0.035132126,7.96E-07,15.72941375
589192,72208302118,5900509,0.039878387,7.98E-07,15.22453388
590619,72208302118,5920185,0.037735065,8.15E-07,15.52928634
593388,72208302118,5950247,0.039937313,8.17E-07,26.35196635
594030,72208302118,5960011,0.03707505,8.05E-07,29.72748757
594422,72208302118,5960403,0.04215399,8.21E-07,10.98634279
595767,72208302118,5980328,0.048568294,7.93E-07,22.35382963
599433,72208302118,6020587,0.038620089,8.17E-07,30.3577455
601462,72208302118,6050036,0.03539373,7.97E-07,26.25460968
601883,72208302118,6050457,0.041575711,8.10E-07,24.6720979
604111,72208302118,6080109,0.037378218,8.07E-07,18.85986451
606300,72208302118,6100582,0.035144169,7.88E-07,29.60610112
607043,72208302118,6110497,0.375741832,8.16E-07,19.60338833
613348,72208302118,6190098,0.036684883,8.22E-07,30.12360348
614130,72208302118,6190880,0.042087296,7.98E-07,29.57676467
615345,72208302118,6210315,0.047190597,7.97E-07,31.8195314
617534,72208302118,6230762,0.037785234,8.16E-07,30.15132877
621698,72208302118,6280605,0.302051844,8.01E-07,10.82744279
623481,72208302118,6300690,0.035055807,7.89E-07,26.60137216
624324,72208302118,6310648,0.035468343,8.20E-07,14.2613261
625738,72208302118,6330386,0.042940265,7.84E-07,13.17830742
627502,72208302118,6350440,0.040088432,8.23E-07,29.38896443
628441,72208302118,6360485,0.040060498,8.17E-07,17.67795325
630512,72208302118,6390080,0.038480426,8.04E-07,25.13630984
635671,72208302118,6440845,0.038430511,8.08E-07,8.079839919
635836,72208302118,6450124,0.037273567,7.86E-07,24.09071031
637363,72208302118,6460691,0.035732604,7.86E-07,30.85923639
637676,72208302118,6470089,0.035378613,8.13E-07,31.23481207
639800,72208302118,6490443,0.035472183,7.97E-07,24.04754781
646189,72208302118,6560845,0.036953741,8.21E-07,-1785.85243
649034,72208302118,6600332,0.042053606,8.02E-07,15.36913451
656487,72208302118,6690337,0.044155568,7.87E-07,9.110991162
659549,72208302118,6720746,0.035889033,7.97E-07,31.27746555
669223,72208302118,6840046,0.038878444,8.23E-07,21.83624899
674207,72208302118,6890591,0.035124713,7.92E-07,16.36155281
675090,72208302118,6900624,0.042758218,7.87E-07,23.57660005
676577,72208302118,6920433,0.03614055,7.95E-07,14.52620715
679808,72208302118,6960169,0.035650337,8.20E-07,25.47365644
682721,72208302118,6990477,0.037006043,8.13E-07,26.45173433
685774,72208302118,7030029,0.035498517,7.91E-07,25.40732808
685840,72208302118,7030095,0.042448337,7.89E-07,14.11744325
689756,72208302118,7070492,0.345222881,8.27E-07,-1398.04399
694054,72208302118,7120383,0.036501131,7.90E-07,22.87409823
694284,72208302118,7120613,0.035429927,7.95E-07,28.33849939
694876,72208302118,7130266,0.045345364,8.07E-07,12.96738689
697915,72208302118,7160654,0.449440376,7.96E-07,28.96208634
701633,72208302118,7200790,0.036398731,7.90E-07,10.35542737
718298,72208311151,170759,0.038384585,8.15E-07,27.43074784
726224,72208311151,260896,0.035070147,7.93E-07,7.280394943
727065,72208311151,270831,0.315674114,8.18E-07,17.83122404
732449,72208311151,340261,0.035437712,8.16E-07,23.271917
740322,72208311151,430439,0.039008228,7.92E-07,10.20445213
741649,72208311151,450083,0.035473137,7.93E-07,18.03304372
742517,72208311151,460103,0.037246935,8.01E-07,13.51944161
743324,72208311151,470099,0.035208193,8.13E-07,27.37670541
748313,72208311151,520713,0.048928931,8.05E-07,15.15643306
757545,72208311151,630567,0.040924557,8.25E-07,29.41544137
758151,72208311151,640272,0.085151529,8.22E-07,28.77085842
761200,72208311151,670694,0.046604606,8.24E-07,23.49298212
762772,72208311151,690463,0.038840765,8.07E-07,18.11417341
785398,72208311151,950559,0.039576686,7.99E-07,25.45971638
792412,72208311151,1030599,0.039330026,8.11E-07,20.36074872
793242,72208311151,1040581,0.036183289,7.97E-07,1.913483105
803351,72208311151,1160336,0.038283478,7.96E-07,17.50377618
808500,72208311151,1220244,0.039584157,8.01E-07,3.422737207
809288,72208311151,1230155,0.036144027,7.95E-07,3.901786579
814906,72208311151,1290306,0.035776173,8.03E-07,9.39851268
819219,72208311151,1340119,0.03536995,8.09E-07,3.911834345
820498,72208311151,1350495,0.037025716,8.40E-07,-690.746425
820543,72208311151,1350540,0.038357488,8.06E-07,9.71251867
830907,72208311151,1470238,0.266092197,8.07E-07,10.00172274
843143,72208311151,1600884,0.037969958,8.11E-07,11.71738336
845188,72208311151,1630263,0.117514055,8.19E-07,12.13799389
850330,72208311151,1690055,0.036572508,8.13E-07,1.608189369
854205,72208311151,1730509,0.038690992,8.70E-07,-544.965392
857227,72208311151,1770097,0.036694445,8.27E-07,9.358590745
873053,72208311151,1950136,0.18868087,8.14E-07,2.048359169
877150,72208311151,1990872,0.394723121,8.25E-07,13.53741623
893419,72208311151,2180774,0.03930134,8.24E-07,8.007893816
893454,72208311151,2190006,0.039839403,8.24E-07,26.00563418
895803,72208311151,2210693,0.041358419,8.14E-07,19.32324369
898455,72208311151,2240703,0.048587544,8.13E-07,7.547283668
899880,72208311151,2260332,0.048074613,8.07E-07,14.55913339
900253,72208311151,2260705,0.046545701,7.96E-07,16.5781044
903417,72208311151,2300517,0.040257573,8.25E-07,20.18956119
905130,72208311151,2320569,0.042348493,8.23E-07,22.25243284
906817,72208311151,2340501,0.037110951,7.96E-07,14.00279132
907537,72208311151,2350363,0.047540964,8.20E-07,22.30448167
910663,72208311151,2390028,0.037551153,8.02E-07,21.44178288
913954,72208311151,2420839,0.035800754,8.10E-07,23.36947938
917730,72208311151,2470319,0.04703516,8.11E-07,5.894570162
919440,72208311151,2490326,0.042600156,8.12E-07,12.69651635
920003,72208311151,2500053,0.042916999,7.95E-07,4.79382012
920293,72208311151,2500343,0.06820318,7.94E-07,17.38977359
920415,72208311151,2500465,0.069522357,8.13E-07,15.47234369
920474,72208311151,2500524,0.045737037,7.97E-07,13.42932305
920707,72208311151,2500757,0.071540233,8.16E-07,6.421636979
920731,72208311151,2500781,0.040131166,8.15E-07,15.80533275
920897,72208311151,2510096,0.03729997,8.03E-07,18.3104927
921212,72208311151,2510411,0.049663681,7.95E-07,13.68258738
922905,72208311151,2530371,0.039630404,8.00E-07,11.04406269
923262,72208311151,2530728,0.055840092,7.94E-07,3.60405591
923660,72208311151,2540291,0.038117426,8.24E-07,7.542749236
923943,72208311151,2540574,0.037547621,8.21E-07,23.33491797
928866,72208311151,2600168,0.042470534,8.15E-07,5.173957278
939177,72208311151,2720470,0.03565133,8.21E-07,23.96154327
943685,72208311151,2770753,0.040002362,8.10E-07,16.30317036
955088,72208311151,2910145,0.048446359,8.02E-07,5.850256667
960587,72208311151,2970369,0.110573964,7.96E-07,4.355167562
961434,72208311151,2980343,0.037014826,8.05E-07,14.9193143
975282,72208311151,3140271,0.04724046,8.02E-07,9.668841244
975326,72208311151,3140315,0.041692586,8.08E-07,17.39840313
975375,72208311151,3140364,0.04386027,8.12E-07,16.96278115
975398,72208311151,3140387,0.045813192,8.06E-07,13.71623331
975583,72208311151,3140572,0.036939681,8.10E-07,12.99528323
975688,72208311151,3140677,0.057819128,7.95E-07,13.05076639
976462,72208311151,3150584,0.046513101,7.98E-07,18.21329712
